CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
25003844;EEEFM JOAO SILVEIRA GUIMARAES;PB;São Bento;Estadual;Urbana;203;Maior que 90 alunos;169;83.25;1;80% ou mais;Médio Baixo;Maior que 50%;69.00;73.60;10.50;15.90;572.38;473.84;33.73;53.85;12.43;0.00;0.00
25016105;EEEFM DEPUTADO LEVI OLIMPIO FERREIRA;PB;São Bentinho;Estadual;Urbana;17;De 1 a 30 alunos;14;82.35;0;80% ou mais;Baixo;Maior que 50%;60.90;82.40;16.50;1.10;;470.83;35.71;50.00;14.29;0.00;0.00
25016164;EEEM PROF CICERO SEVERO LOPES;PB;São Domingos;Estadual;Urbana;19;De 1 a 30 alunos;14;73.68;0;80% ou mais;Baixo;Até 50%;41.70;100.00;0.00;0.00;;459.71;57.14;28.57;14.29;0.00;0.00
25019597;EEEF DORGIVAL SILVEIRA;PB;São Francisco;Estadual;Urbana;33;De 31 a 60 alunos;25;75.76;0;De 60% a 80%;Baixo;Até 50%;31.90;96.20;1.90;1.90;;484.57;28.00;60.00;12.00;0.00;0.00
25054180;EEEFM JORNALISTA JOSE LEAL RAMOS;PB;São João do Cariri;Estadual;Urbana;54;De 31 a 60 alunos;45;83.33;0;80% ou mais;Médio Baixo;Até 50%;32.00;76.90;12.30;10.80;504.96;470.35;28.89;60.00;11.11;0.00;0.00
25047116;EEEFM MARIO OLIVEIRA CHAVES;PB;São João do Tigre;Estadual;Urbana;25;De 1 a 30 alunos;13;52.00;0;80% ou mais;Baixo;Até 50%;43.90;80.20;0.00;19.80;;476.48;23.08;69.23;7.69;0.00;0.00
25017438;EEEFM ANTONIO GREGORIO DE LACERDA;PB;São José da Lagoa Tapada;Estadual;Urbana;44;De 31 a 60 alunos;27;61.36;1;80% ou mais;Baixo;Maior que 50%;65.50;89.50;2.30;8.20;;446.55;55.56;37.04;7.41;0.00;0.00
25032518;EEEFM OTAVIANO LOPES DA SILVA;PB;São José de Caiana;Estadual;Urbana;45;De 31 a 60 alunos;24;53.33;0;80% ou mais;Baixo;Até 50%;35.60;84.00;0.60;15.40;;476.49;33.33;58.33;8.33;0.00;0.00
25022652;EEEFM JOSE AMERICO DE ALMEIDA;PB;São José de Espinharas;Estadual;Urbana;40;De 31 a 60 alunos;32;80.00;0;80% ou mais;Médio Baixo;Até 50%;32.40;86.10;10.70;3.20;477.62;469.14;37.50;46.88;15.63;0.00;0.00
25010565;EEEFM PREFº JOAQUIM LACERDA LEITE;PB;São José de Piranhas;Estadual;Urbana;60;De 31 a 60 alunos;35;58.33;0;80% ou mais;Baixo;Maior que 50%;68.30;77.40;5.90;16.70;480.99;464.77;40.00;60.00;0.00;0.00;0.00
