CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
52105202;IFG - CAMPUS INHUMAS;GO;Inhumas;Federal;Urbana;33;De 31 a 60 alunos;33;100,00;0;80% ou mais;Médio;Maior que 50%;65,20;79,70;19,80;0,50;549,60;530,29;24,24;36,36;30,30;9,09;0,00
52022730;COLEGIO ESTADUAL RUI BARBOSA;GO;Inhumas;Estadual;Urbana;183;Maior que 90 alunos;104;56,83;6;Menos de 20%;Alto;Maior que 50%;69,50;90,50;5,30;4,20;526,17;437,34;66,35;25,96;5,77;1,92;0,00
52065952;COLEGIO ESTADUAL PROFESSOR EDUARDO MANCINI;GO;Ipameri;Estadual;Urbana;60;De 31 a 60 alunos;49;81,67;0;De 40% a 60%;Médio;Até 50%;45,30;79,20;6,90;13,90;470,14;430,39;69,39;26,53;4,08;0,00;0,00
52066070;COLEGIO ESTADUAL NORMAL PROFESSOR CESAR AUGUSTO CEVA;GO;Ipameri;Estadual;Urbana;91;Maior que 90 alunos;89;97,80;0;De 60% a 80%;Médio;Até 50%;46,60;88,90;6,80;4,30;577,66;487,82;35,96;42,70;16,85;4,49;0,00
52074781;COLEGIO DOMINIO LTDA;GO;Ipameri;Privada;Urbana;12;De 1 a 30 alunos;12;100,00;0;De 60% a 80%;Alto;Maior que 50%;69,20;95,70;2,10;2,20;;532,63;16,67;58,33;8,33;16,67;0,00
52066061;COLEGIO ESTADUAL MONSENHOR DOMINGOS PINTO FIGUEIREDO;GO;Ipameri;Estadual;Urbana;18;De 1 a 30 alunos;16;88,89;0;De 60% a 80%;Médio;Maior que 50%;65,20;67,60;16,90;15,50;;411,04;87,50;6,25;6,25;0,00;0,00
52015386;COLEGIO ESTADUAL SETE DE SETEMBRO;GO;Ipiranga de Goiás;Estadual;Urbana;47;De 31 a 60 alunos;29;61,70;0;80% ou mais;Médio;Até 50%;2,80;97,40;2,60;0,00;;436,66;72,41;17,24;10,34;0,00;0,00
52027082;COLEGIO ESTADUAL OSORIO RAIMUNDO DE LIMA;GO;Iporá;Estadual;Urbana;23;De 1 a 30 alunos;18;78,26;0;De 40% a 60%;Médio;Maior que 50%;53,80;97,20;2,80;0,00;;491,10;38,89;33,33;22,22;5,56;0,00
52096408;IF GOIANO - CAMPUS IPORA;GO;Iporá;Federal;Rural;66;De 61 a 90 alunos;65;98,48;0;80% ou mais;Sem informação;Maior que 50%;55,30;83,30;16,30;0,40;678,29;572,26;15,38;29,23;27,69;21,54;6,15
52072088;COLEGIO ESTADUAL ARISTON GOMES DA SILVA;GO;Iporá;Estadual;Urbana;232;Maior que 90 alunos;161;69,40;4;De 40% a 60%;Médio;Maior que 50%;56,60;81,80;10,10;8,10;571,41;451,91;51,55;37,89;7,45;3,11;0,00
