CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
43072399;E E E M CATARINA BRIDI;RS;Ibarama;Estadual;Urbana;45;De 31 a 60 alunos;25;55.56;0;80% ou mais;Médio;Maior que 50%;56.40;89.40;6.40;4.20;;475.64;28.00;68.00;4.00;0.00;0.00
43072739;ESC EST ENS MEDIO PROFESSORA ADELAIDE PICOLOTTO;RS;Ibiaçá;Estadual;Urbana;35;De 31 a 60 alunos;25;71.43;0;80% ou mais;Médio Alto;Maior que 50%;77.50;75.00;7.30;17.70;;467.27;44.00;36.00;20.00;0.00;0.00
43073077;EEEM ANTONIO STELLA;RS;Ibiraiaras;Estadual;Urbana;42;De 31 a 60 alunos;27;64.29;1;80% ou mais;Médio Alto;Maior que 50%;63.30;89.00;9.40;1.60;;476.07;37.04;55.56;7.41;0.00;0.00
43073743;COLEGIO SINODAL IBIRUBA;RS;Ibirubá;Privada;Urbana;21;De 1 a 30 alunos;16;76.19;0;80% ou mais;Muito alto;Maior que 50%;74.40;96.50;3.50;0.00;;541.21;12.50;31.25;56.25;0.00;0.00
43073786;EEEB GENERAL OSORIO;RS;Ibirubá;Estadual;Urbana;90;De 61 a 90 alunos;56;62.22;2;80% ou mais;Médio Alto;Maior que 50%;77.00;80.00;12.60;7.40;518.61;477.26;32.14;62.50;5.36;0.00;0.00
43278000;IFRS - CAMPUS IBIRUBA;RS;Ibirubá;Federal;Urbana;57;De 31 a 60 alunos;52;91.23;0;80% ou mais;Alto;Maior que 50%;93.20;82.60;16.50;0.90;588.36;539.87;11.54;38.46;48.08;1.92;0.00
43074049;EEEM BERTHALINA KIRSCH;RS;Igrejinha;Estadual;Urbana;125;Maior que 90 alunos;63;50.40;0;80% ou mais;Médio Alto;Até 50%;38.50;70.00;14.30;15.70;528.16;481.63;28.57;60.32;11.11;0.00;0.00
43361340;COLEGIO TIRADENTES IJUI;RS;Ijuí;Estadual;Urbana;50;De 31 a 60 alunos;50;100.00;0;80% ou mais;Alto;Maior que 50%;85.00;84.10;15.90;0.00;660.69;621.74;2.00;8.00;56.00;34.00;0.00
43074219;INST EST ED GUILHERME CLEMENTE KOEHLER;RS;Ijuí;Estadual;Urbana;58;De 31 a 60 alunos;33;56.90;2;De 60% a 80%;Médio Alto;Maior que 50%;76.30;67.30;27.10;5.60;461.40;452.28;45.45;54.55;0.00;0.00;0.00
43074189;EEEM RUY BARBOSA;RS;Ijuí;Estadual;Urbana;129;Maior que 90 alunos;115;89.15;0;De 60% a 80%;Médio Alto;Maior que 50%;89.90;72.60;22.60;4.80;568.60;486.98;31.30;50.43;17.39;0.87;0.00
43075185;INST MUN DE ENS ASSIS BRASIL;RS;Ijuí;Municipal;Urbana;41;De 31 a 60 alunos;34;82.93;1;80% ou mais;Alto;Maior que 50%;83.30;86.60;11.60;1.80;477.51;465.73;32.35;64.71;2.94;0.00;0.00
43209165;EEEM ANTONIO PADILHA;RS;Ijuí;Estadual;Urbana;69;De 61 a 90 alunos;58;84.06;0;80% ou mais;Médio;Maior que 50%;72.50;84.30;12.30;3.40;485.06;444.48;56.90;41.38;1.72;0.00;0.00
43074197;COLEGIO EVANGELICO AUGUSTO PESTANA;RS;Ijuí;Privada;Urbana;44;De 31 a 60 alunos;42;95.45;0;80% ou mais;Muito alto;Maior que 50%;85.70;98.60;1.40;0.00;593.85;562.69;0.00;45.24;42.86;11.90;0.00
43075266;CENT DE ED BAS FRANCISCO DE ASSIS;RS;Ijuí;Privada;Urbana;18;De 1 a 30 alunos;16;88.89;1;80% ou mais;Muito alto;Maior que 50%;86.00;88.60;11.40;0.00;;545.33;6.25;43.75;50.00;0.00;0.00
43075150;EEEM SAO GERALDO;RS;Ijuí;Estadual;Urbana;57;De 31 a 60 alunos;40;70.18;1;De 60% a 80%;Alto;Maior que 50%;70.00;62.20;28.30;9.50;502.94;479.09;35.00;57.50;7.50;0.00;0.00
43074200;ESC TEC EST 25 DE JULHO;RS;Ijuí;Estadual;Urbana;179;Maior que 90 alunos;153;85.47;3;80% ou mais;Médio Alto;Maior que 50%;84.10;73.80;17.90;8.30;572.77;489.24;24.84;58.82;16.34;0.00;0.00
43074162;COLEGIO SAGRADO CORACAO DE JESUS;RS;Ijuí;Privada;Urbana;57;De 31 a 60 alunos;53;92.98;0;80% ou mais;Alto;Maior que 50%;74.70;94.00;6.00;0.00;598.78;550.42;9.43;33.96;54.72;1.89;0.00
43171834;COLEGIO ESTADUAL ILOPOLIS;RS;Ilópolis;Estadual;Urbana;38;De 31 a 60 alunos;19;50.00;1;80% ou mais;Médio Alto;Maior que 50%;67.40;87.80;7.90;4.30;;444.46;57.89;42.11;0.00;0.00;0.00
43075630;ESCOLA ESTADUAL DE ENSINO MEDIO 9 DE MAIO;RS;Imbé;Estadual;Urbana;194;Maior que 90 alunos;133;68.56;0;De 60% a 80%;Médio Alto;Maior que 50%;54.50;74.60;13.70;11.70;559.48;481.23;33.83;55.64;9.77;0.75;0.00
43076076;EEEB AMELIO FAGUNDES;RS;Independência;Estadual;Urbana;54;De 31 a 60 alunos;48;88.89;2;80% ou mais;Médio Alto;Maior que 50%;68.10;79.60;14.20;6.20;518.04;482.44;33.33;50.00;16.67;0.00;0.00
43076270;ESC EST EDUC BAS FREI CASIMIRO ZAFFONATO;RS;Ipê;Estadual;Urbana;45;De 31 a 60 alunos;32;71.11;0;80% ou mais;Médio Alto;Até 50%;44.30;85.30;8.40;6.30;490.54;485.17;34.38;56.25;9.38;0.00;0.00
43076602;COL ESTADUAL IPIRANGA;RS;Ipiranga do Sul;Estadual;Urbana;20;De 1 a 30 alunos;18;90.00;1;80% ou mais;Médio;Até 50%;46.20;94.10;4.40;1.50;;490.30;27.78;61.11;11.11;0.00;0.00
43076637;IEE VISCONDE DE TAUNAY;RS;Iraí;Estadual;Urbana;61;De 61 a 90 alunos;36;59.02;0;80% ou mais;Médio Alto;Maior que 50%;57.80;70.00;18.80;11.20;491.57;472.24;44.44;38.89;16.67;0.00;0.00
43211739;E E E M DE ITAARA;RS;Itaara;Estadual;Rural;36;De 31 a 60 alunos;22;61.11;1;De 60% a 80%;Médio;Maior que 50%;71.60;78.00;6.70;15.30;;465.35;40.91;54.55;4.55;0.00;0.00
43077188;ESC EST ENS MEDIO VICENTE GOULART;RS;Itacurubi;Estadual;Urbana;30;De 1 a 30 alunos;24;80.00;0;De 60% a 80%;Médio;Maior que 50%;59.20;86.80;12.30;0.90;;436.46;70.83;25.00;4.17;0.00;0.00
43077250;CE SAO PATRICIO;RS;Itaqui;Estadual;Urbana;120;Maior que 90 alunos;96;80.00;0;80% ou mais;Médio Alto;Maior que 50%;52.70;78.80;20.00;1.20;528.31;457.77;48.96;44.79;6.25;0.00;0.00
43077595;INSTITUTO ESTADUAL DE ED OSVALDO CRUZ;RS;Itaqui;Estadual;Urbana;113;Maior que 90 alunos;92;81.42;2;80% ou mais;Médio Alto;Até 50%;47.30;81.90;7.40;10.70;528.66;461.28;45.65;44.57;9.78;0.00;0.00
43077242;ESCOLA TECNICA ITAQUIENSE;RS;Itaqui;Privada;Urbana;45;De 31 a 60 alunos;31;68.89;1;80% ou mais;Médio Baixo;Maior que 50%;58.10;87.00;13.00;0.00;461.71;458.45;41.94;51.61;6.45;0.00;0.00
43155030;EEEM PASTOR VOGES;RS;Itati;Estadual;Urbana;24;De 1 a 30 alunos;20;83.33;1;80% ou mais;Médio;Maior que 50%;58.30;79.10;20.90;0.00;;456.92;45.00;50.00;5.00;0.00;0.00
43078060;ESC EST ENS MED PROFESSORA FERNANDINA RIGOTI;RS;Itatiba do Sul;Estadual;Urbana;30;De 1 a 30 alunos;24;80.00;0;80% ou mais;Médio;Maior que 50%;57.80;87.80;5.70;6.50;;475.50;37.50;50.00;12.50;0.00;0.00
43078230;EEEB PADRE PEDRO MARCELINO COPETTI;RS;Ivorá;Estadual;Urbana;16;De 1 a 30 alunos;13;81.25;0;80% ou mais;Médio Alto;Maior que 50%;79.50;90.50;6.80;2.70;;527.35;7.69;69.23;23.08;0.00;0.00
43078370;CENTRO DE EDUCACAO BASICA IVOTI - UNIDADE DE ENSINO INSTITUTO DE EDUCACAO IVOTI;RS;Ivoti;Privada;Urbana;79;De 61 a 90 alunos;69;87.34;1;80% ou mais;Muito alto;Maior que 50%;54.80;92.60;7.40;0.00;570.57;516.84;10.14;62.32;23.19;4.35;0.00
43078389;EEEB PROF MATHIAS SCHUTZ;RS;Ivoti;Estadual;Urbana;172;Maior que 90 alunos;119;69.19;1;80% ou mais;Médio Alto;Maior que 50%;65.70;84.50;12.00;3.50;532.73;459.30;51.26;44.54;4.20;0.00;0.00
43078583;E E DE EDUCACAO BASICA PADRE FRANCISCO GOETTLER;RS;Jaboticaba;Estadual;Urbana;32;De 31 a 60 alunos;26;81.25;0;80% ou mais;Médio;Maior que 50%;55.60;82.90;10.90;6.20;;481.52;34.62;57.69;7.69;0.00;0.00
43079024;ESCOLA ESTADUAL DE EDUCACAO BASICA ERICO VERISSIMO;RS;Jacutinga;Estadual;Urbana;29;De 1 a 30 alunos;23;79.31;0;80% ou mais;Médio Alto;Até 50%;42.90;95.10;1.00;3.90;;475.77;39.13;47.83;13.04;0.00;0.00
43079059;INSTITUTO ESTADUAL DE EDUCACAO ESPIRITO SANTO;RS;Jaguarão;Estadual;Urbana;67;De 61 a 90 alunos;56;83.58;0;80% ou mais;Médio Alto;Maior que 50%;51.90;59.90;31.20;8.90;488.48;453.61;53.57;44.64;1.79;0.00;0.00
43079040;COL ESTADUAL CARLOS ALBERTO RIBAS;RS;Jaguarão;Estadual;Urbana;60;De 31 a 60 alunos;46;76.67;0;80% ou mais;Alto;Maior que 50%;64.30;72.30;26.30;1.40;506.98;478.15;26.09;63.04;10.87;0.00;0.00
43079350;ESC EST ENS MEDIO HERMES PINTOS AFFONSO;RS;Jaguarão;Estadual;Urbana;33;De 31 a 60 alunos;23;69.70;0;80% ou mais;Médio Alto;Até 50%;30.00;72.10;12.20;15.70;;476.77;43.48;43.48;13.04;0.00;0.00
43079865;IEE PROFESSORA GUILHERMINA JAVORSKI;RS;Jaguari;Estadual;Urbana;64;De 61 a 90 alunos;63;98.44;0;80% ou mais;Médio Alto;Maior que 50%;73.60;76.50;20.60;2.90;539.22;487.64;26.98;57.14;15.87;0.00;0.00
43079750;EEEM IJUCAPIRAMA;RS;Jaguari;Estadual;Rural;20;De 1 a 30 alunos;17;85.00;0;80% ou mais;Médio;Até 50%;45.90;86.00;8.80;5.20;;478.31;41.18;47.06;11.76;0.00;0.00
43161510;EEEM ERICO VERISSIMO;RS;Jari;Estadual;Urbana;41;De 31 a 60 alunos;26;63.41;0;80% ou mais;Médio;Maior que 50%;76.90;80.50;9.70;9.80;;460.16;46.15;53.85;0.00;0.00;0.00
43080405;COL EST ANTONIO MASTELLA;RS;Jóia;Estadual;Urbana;39;De 31 a 60 alunos;30;76.92;0;80% ou mais;Médio Alto;Maior que 50%;71.40;73.40;20.80;5.80;468.89;468.89;36.67;53.33;10.00;0.00;0.00
43080529;EEEM DR JULIO PRATES DE CASTILHOS;RS;Júlio de Castilhos;Estadual;Urbana;26;De 1 a 30 alunos;21;80.77;0;80% ou mais;Médio Alto;Maior que 50%;68.60;77.20;19.30;3.50;;438.47;61.90;38.10;0.00;0.00;0.00
43080545;IEE VICENTE DUTRA;RS;Júlio de Castilhos;Estadual;Urbana;106;Maior que 90 alunos;80;75.47;1;De 60% a 80%;Médio;Maior que 50%;72.00;68.50;22.50;9.00;528.85;466.18;43.75;46.25;10.00;0.00;0.00
43246214;IF FARROUPILHA - CAMPUS JULIO DE CASTILHOS;RS;Júlio de Castilhos;Federal;Rural;61;De 61 a 90 alunos;58;95.08;1;80% ou mais;Médio Alto;Maior que 50%;73.20;84.30;15.30;0.40;558.63;513.19;13.79;56.90;29.31;0.00;0.00
43149979;ESCOLA ESTADUAL DE ENSINO MEDIO JOSE LUCHESE;RS;Lagoa Bonita do Sul;Estadual;Urbana;28;De 1 a 30 alunos;16;57.14;0;80% ou mais;Médio Alto;Maior que 50%;70.50;88.10;6.00;5.90;;439.72;50.00;50.00;0.00;0.00;0.00
43170617;EEEM TOMAS GARCIA DA COSTA;RS;Lagoão;Estadual;Urbana;39;De 31 a 60 alunos;22;56.41;0;80% ou mais;Médio;Maior que 50%;57.30;85.30;13.30;1.40;;474.26;50.00;31.82;18.18;0.00;0.00
