CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
42073790;ESCOLA INTERNACIONAL SOCIESC - JOINVILLE;SC;Joinville;Privada;Urbana;20;De 1 a 30 alunos;16;80.00;0;80% ou mais;Sem informação;Até 50%;43.60;100.00;0.00;0.00;;738.75;6.25;0.00;12.50;56.25;25.00
42020522;EEB ARNALDO MOREIRA DOUAT;SC;Joinville;Estadual;Urbana;94;Maior que 90 alunos;50;53.19;0;De 40% a 60%;Alto;Maior que 50%;59.10;76.40;18.00;5.60;594.00;533.20;34.00;46.00;10.00;8.00;2.00
42020824;EEB PROF GUSTAVO AUGUSTO GONZAGA;SC;Joinville;Estadual;Urbana;73;De 61 a 90 alunos;57;78.08;2;De 60% a 80%;Alto;Maior que 50%;69.40;91.80;7.70;0.50;655.33;584.56;17.54;36.84;29.82;12.28;3.51
42109167;EEB SEN RODRIGO LOBO;SC;Joinville;Estadual;Urbana;52;De 31 a 60 alunos;30;57.69;1;De 60% a 80%;Alto;Maior que 50%;63.10;78.30;9.60;12.10;506.67;506.67;43.33;43.33;10.00;3.33;0.00
42020360;EEB ENG ANNES GUALBERTO;SC;Joinville;Estadual;Urbana;128;Maior que 90 alunos;77;60.16;0;De 60% a 80%;Alto;Maior que 50%;77.10;71.70;21.50;6.80;666.00;552.73;24.68;32.47;29.87;11.69;1.30
42020433;EEB PROF GERMANO TIMM;SC;Joinville;Estadual;Urbana;134;Maior que 90 alunos;96;71.64;4;De 40% a 60%;Alto;Até 50%;42.60;80.30;10.20;9.50;697.33;578.75;16.67;40.63;29.17;10.42;3.13
42020808;EEB PRESIDENTE MEDICI;SC;Joinville;Estadual;Urbana;186;Maior que 90 alunos;99;53.23;2;80% ou mais;Médio Alto;Maior que 50%;70.60;73.30;15.30;11.40;653.33;555.56;23.23;40.40;28.28;7.07;1.01
42133394;EEM DEP NAGIB ZATTAR;SC;Joinville;Estadual;Urbana;195;Maior que 90 alunos;101;51.79;1;De 60% a 80%;Médio Alto;Maior que 50%;72.60;75.00;11.70;13.30;646.00;519.01;39.60;36.63;18.81;2.97;1.98
42020786;EEB PROF ANTONIA ALPAIDES C DOS SANTOS;SC;Joinville;Estadual;Urbana;152;Maior que 90 alunos;91;59.87;2;De 60% a 80%;Alto;Maior que 50%;74.80;78.50;13.60;7.90;633.33;533.85;30.77;43.96;19.78;5.49;0.00
42121191;POSIVILLE;SC;Joinville;Privada;Urbana;129;Maior que 90 alunos;120;93.02;0;De 60% a 80%;Muito alto;Maior que 50%;54.80;96.70;3.30;0.00;894.00;729.50;4.17;11.67;20.00;28.33;35.83
